Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Track Duration (ms),Explicit,Popularity,Artist Genres,Danceability,Energy,Loudness,Speechiness,Acousticness
Rock & Roll,Eric Hutchinson,Sounds Like This,Eric Hutchinson,2008,240320,FALSE,49,"acoustic pop,neo mellow",0.462,0.767,-5.038,0.0686,0.0395
I Got It From My Mama,will.i.am,Songs About Girls,will.i.am,01/01/2007,241520,FALSE,47,"dance pop,pop",0.888,0.777,-6.262,0.0505,0.0961
Your Time Will Come - Remastered Version,"Eurythmics, Annie Lennox, Dave Stewart",In The Garden,"Eurythmics, Annie Lennox, Dave Stewart",16/10/1981,271813,FALSE,9,"dance rock,new romantic,new wave,new wave pop,soft rock,sophisti-pop,synthpop,new romantic,new wave,new wave pop,singer-songwriter,soft rock,synthpop,new wave pop,rock keyboard",0.305,0.681,-5.737,0.0287,0.000735
Stop Crying Your Heart Out,Oasis,Heathen Chemistry,Oasis,20/06/2002,303133,FALSE,49,"beatlesque,britpop,madchester,permanent wave,rock",0.38,0.572,-5.334,0.03,0.0768
1 Day 2 Nights,HRVY,1 Day 2 Nights,HRVY,11/06/2021,138200,FALSE,0,pop,0.747,0.749,-6.337,0.0558,0.0798
Visiting Hours,Ed Sheeran,Visiting Hours,Ed Sheeran,19/08/2021,215506,FALSE,1,"pop,singer-songwriter pop,uk pop",0.471,0.396,-6.654,0.0336,0.77
S Club Party,S Club,S Club,S Club,01/01/1999,210400,FALSE,0,"australian pop,dance pop,europop,talent show",0.643,0.879,-6.579,0.0435,0.0681
Butterfly,Matt Flinders,The Best of Matt Flinders,Matt Flinders,1974,175813,FALSE,0,,0.219,0.239,-14.215,0.0297,0.854
Hella Good,No Doubt,Rock Steady [UK Version (Ltd.)],No Doubt,11/12/2001,242586,FALSE,0,"dance pop,dance rock,permanent wave,pop rock,rock",0.776,0.671,-3.966,0.0352,0.017
You're Not Sorry (Originally Performed By Taylor Swift) [Full Vocal Version],Chart Collective,"Karaoke Taylor Swift, Vol. 1",Chart Collective,01/07/2014,262112,FALSE,1,,0.627,0.4,-6.024,0.0273,0.35
High Hopes,Kodaline,In A Perfect World (Deluxe),Kodaline,14/06/2013,230266,FALSE,0,"irish pop,modern rock,neo mellow",0.488,0.487,-6.371,0.0305,0.577
